race_id,horse_id,horse_name,jockey,trainer,draw,weight_lbs,official_rating,age,sex,running_style,gear
R20260506-S1,H001,Lightning Pearl,Z Purton,F C Lor,2,128,78,5,G,pace,B
R20260506-S1,H002,Golden Circuit,H Bowman,J Size,8,123,73,4,G,stalker,
R20260506-S1,H003,North Star,K Teetan,D A Hayes,11,116,66,4,G,closer,TT
R20260506-S1,H004,Harbour Wind,A Atzeni,C S Shum,5,120,70,6,G,leader,V
R20260506-S2,H005,Silver Map,Z Purton,J Size,1,132,60,4,G,stalker,
R20260506-S2,H006,Lucky Regent,K Teetan,P F Yiu,7,124,52,5,G,closer,B
R20260506-S2,H007,Emerald Hill,H Bowman,F C Lor,4,119,47,3,G,pace,
R20260429-H1,H001,Lightning Pearl,Z Purton,F C Lor,4,130,77,5,G,pace,B
R20260429-H1,H002,Golden Circuit,H Bowman,J Size,9,125,72,4,G,stalker,
R20260429-H1,H004,Harbour Wind,A Atzeni,C S Shum,1,121,69,6,G,leader,V

